"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene"
"AKR7A2",TRUE
"AKR7A3",TRUE
"AKR7L",TRUE
"AKT1",TRUE
"AKT1S1",TRUE
"AKT2",TRUE
"AKT3",TRUE
"AKTIP",TRUE
"ALAD",TRUE
"ALAS1",TRUE
"ALAS2",TRUE
"ALB",TRUE
"ALCAM",TRUE
"ALDH16A1",TRUE
"ALDH18A1",TRUE
"ALDH1A1",TRUE
"ALDH1A2",TRUE
"ALDH1A3",TRUE
"ALDH1B1",TRUE
"ALDH1L1",TRUE
"ALDH1L2",TRUE
"ALDH2",TRUE
"ALDH3A1",TRUE
"ALDH3A2",TRUE
"ALDH3B1",TRUE
"ALDH3B2",TRUE
"ALDH4A1",TRUE
"ALDH5A1",TRUE
"ALDH6A1",TRUE
"ALDH7A1",TRUE
"ALDH8A1",TRUE
"ALDH9A1",TRUE
"ALDOA",TRUE
"ALDOB",TRUE
"ALDOC",TRUE
"ALG1",TRUE
"ALG10",TRUE
"ALG10B",TRUE
"ALG11",TRUE
"ALG12",TRUE
"ALG13",TRUE
"ALG14",TRUE
"ALG1L",TRUE
"ALG2",TRUE
"ALG3",TRUE
"ALG5",TRUE
"ALG6",TRUE
"ALG8",TRUE
"ALG9",TRUE
"ALK",TRUE
"ALKBH1",TRUE
"ALKBH2",TRUE
"ALKBH3",TRUE
"ALKBH4",TRUE
"ALKBH5",TRUE
"ALKBH6",TRUE
"ALKBH7",TRUE
"ALKBH8",TRUE
"ALLC",TRUE
"ALMS1",TRUE
"ALMS1P",TRUE
"ALOX12",TRUE
"ALOX12B",TRUE
"ALOX12P2",TRUE
"ALOX15",TRUE
"ALOX15B",TRUE
"ALOX5",TRUE
"ALOX5AP",TRUE
"ALOXE3",TRUE
"ALPI",TRUE
"ALPK1",TRUE
"ALPK2",TRUE
"ALPK3",TRUE
"ALPL",TRUE
"ALPP",TRUE
"ALPPL2",TRUE
"ALS2",TRUE
"ALS2CL",TRUE
"ALS2CR11",TRUE
"ALS2CR12",TRUE
"ALS2CR16",TRUE
"ALS2CR4",TRUE
"ALS2CR8",TRUE
"ALX1",TRUE
"ALX3",TRUE
"ALX4",TRUE
"AMAC1",TRUE
"AMAC1L2",TRUE
"AMAC1L3",TRUE
"AMACR",TRUE
"AMBN",TRUE
"AMBP",TRUE
"AMBRA1",TRUE
"AMD1",TRUE
"AMDHD1",TRUE
"AMDHD2",TRUE
"AMELX",TRUE
"AMELY",TRUE
"AMFR",TRUE
"AMH",TRUE
"AMHR2",TRUE
"AMICA1",TRUE
"AMIGO1",TRUE
"AMIGO2",TRUE
"AMIGO3",TRUE
"AMMECR1",TRUE
"AMMECR1L",TRUE
"AMN",TRUE
"AMN1",TRUE
"AMOT",TRUE
"AMOTL2",TRUE
"AMPD1",TRUE
"AMPD2",TRUE
"AMPD3",TRUE
"AMPH",TRUE
"AMT",TRUE
"AMTN",TRUE
"AMY1A",TRUE
"AMY1B",TRUE
"AMY2A",TRUE
"AMY2B",TRUE
"AMZ1",TRUE
"AMZ2",TRUE
"ANAPC1",TRUE
"ANAPC10",TRUE
"ANAPC11",TRUE
"ANAPC13",TRUE
"ANAPC2",TRUE
"ANAPC4",TRUE
"ANAPC5",TRUE
"ANAPC7",TRUE
"ANG",TRUE
"ANGEL1",TRUE
"ANGEL2",TRUE
"ANGPT1",TRUE
"ANGPT2",TRUE
"ANGPT4",TRUE
"ANGPTL1",TRUE
"ANGPTL2",TRUE
"ANGPTL3",TRUE
"ANGPTL4",TRUE
"ANGPTL5",TRUE
"ANGPTL6",TRUE
"ANGPTL7",TRUE
"ANK1",TRUE
"ANK2",TRUE
"ANK3",TRUE
"ANKAR",TRUE
"ANKDD1A",TRUE
"ANKFN1",TRUE
"ANKFY1",TRUE
"ANKH",TRUE
"ANKHD1",TRUE
"ANKHD1-EIF4EBP3",TRUE
"ANKIB1",TRUE
"ANKK1",TRUE
"ANKLE1",TRUE
"ANKLE2",TRUE
"ANKMY1",TRUE
"ANKMY2",TRUE
"ANKRA2",TRUE
"ANKRD1",TRUE
"ANKRD10",TRUE
"ANKRD11",TRUE
"ANKRD12",TRUE
"ANKRD13A",TRUE
"ANKRD13B",TRUE
"ANKRD13C",TRUE
"ANKRD13D",TRUE
"ANKRD16",TRUE
"ANKRD17",TRUE
"ANKRD19",TRUE
"ANKRD2",TRUE
"ANKRD20A1",TRUE
"ANKRD20A2",TRUE
"ANKRD20A3",TRUE
"ANKRD20A4",TRUE
"ANKRD20B",TRUE
"ANKRD21",TRUE
"ANKRD22",TRUE
"ANKRD23",TRUE
"ANKRD24",TRUE
"ANKRD26",TRUE
"ANKRD27",TRUE
"ANKRD28",TRUE
"ANKRD29",TRUE
"ANKRD30A",TRUE
"ANKRD32",TRUE
"ANKRD33",TRUE
"ANKRD34A",TRUE
"ANKRD34B",TRUE
"ANKRD35",TRUE
"ANKRD36",TRUE
"ANKRD36B",TRUE
"ANKRD37",TRUE
"ANKRD38",TRUE
"ANKRD39",TRUE
"ANKRD40",TRUE
"ANKRD41",TRUE
"ANKRD42",TRUE
"ANKRD43",TRUE
"ANKRD44",TRUE
"ANKRD45",TRUE
"ANKRD46",TRUE
"ANKRD47",TRUE
"ANKRD49",TRUE
"ANKRD5",TRUE
"ANKRD50",TRUE
"ANKRD52",TRUE
"ANKRD53",TRUE
"ANKRD54",TRUE
"ANKRD55",TRUE
"ANKRD56",TRUE
"ANKRD57",TRUE
"ANKRD6",TRUE
"ANKRD7",TRUE
"ANKRD9",TRUE
"ANKS1A",TRUE
"ANKS1B",TRUE
"ANKS3",TRUE
"ANKS4B",TRUE
"ANKS6",TRUE
"ANKZF1",TRUE
"ANLN",TRUE
"ANO1",TRUE
"ANO10",TRUE
"ANO2",TRUE
"ANO3",TRUE
"ANO4",TRUE
"ANO5",TRUE
"ANO6",TRUE
"ANO7",TRUE
"ANO8",TRUE
"ANO9",TRUE
"ANP32A",TRUE
"ANP32B",TRUE
"ANP32C",TRUE
"ANP32D",TRUE
"ANP32E",TRUE
"ANPEP",TRUE
"ANTXR1",TRUE
"ANTXR2",TRUE
"ANUBL1",TRUE
"ANXA1",TRUE
"ANXA10",TRUE
"ANXA11",TRUE
"ANXA13",TRUE
"ANXA2",TRUE
"ANXA2P1",TRUE
"ANXA2P2",TRUE
"ANXA3",TRUE
"ANXA4",TRUE
"ANXA5",TRUE
"ANXA6",TRUE
"ANXA7",TRUE
"ANXA8",TRUE
"ANXA8L1",TRUE
"ANXA8L2",TRUE
"ANXA9",TRUE
"AOAH",TRUE
"AOC2",TRUE
"AOC3",TRUE
"AOF2",TRUE
"AOX1",TRUE
"AOX2P",TRUE
"AP1B1",TRUE
"AP1G1",TRUE
"AP1G2",TRUE
"AP1GBP1",TRUE
"AP1M1",TRUE
"AP1M2",TRUE
"AP1S1",TRUE
"AP1S2",TRUE
"AP1S3",TRUE
"AP2A1",TRUE
"AP2A2",TRUE
"AP2B1",TRUE
"AP2M1",TRUE
"AP2S1",TRUE
"AP3B1",TRUE
"AP3B2",TRUE
"AP3D1",TRUE
"AP3M1",TRUE
"AP3M2",TRUE
